id,x,y
8,120.6472953,31.41493245
8,120.6472683,31.41494642
8,120.6472411,31.41496023
8,120.6472142,31.41497432
8,120.6471872,31.41498834
8,120.6471603,31.41500239
8,120.6471333,31.41501642
8,120.6471063,31.41503046
8,120.6470794,31.41504448
8,120.6470524,31.41505849
8,120.6470254,31.41507252
8,120.6469982,31.41508627
8,120.6469709,31.41509988
8,120.6469441,31.41511417
8,120.6469171,31.41512796
8,120.6468902,31.41514216
8,120.6468633,31.4151563
8,120.6468364,31.41517033
8,120.6468095,31.41518453
8,120.6467825,31.41519852
8,120.6467557,31.41521274
8,120.6467288,31.4152269
8,120.6467019,31.41524102
8,120.6466749,31.415255
8,120.646648,31.4152692
9,120.6472923,31.41496673
9,120.6472653,31.41498075
9,120.6472383,31.41499473
9,120.6472113,31.41500879
9,120.6471844,31.41502286
9,120.6471574,31.4150369
9,120.6471304,31.41505096
9,120.6471035,31.41506506
9,120.6470765,31.41507908
9,120.6470495,31.41509309
9,120.6470225,31.4151071
9,120.6469956,31.41512114
9,120.6469686,31.4151352
9,120.6469417,31.41514926
9,120.6469147,31.4151633
9,120.6468878,31.41517744
9,120.6468608,31.41519145
9,120.6468339,31.41520563
9,120.646807,31.41521967
9,120.6467801,31.41523382
9,120.6467531,31.41524787
9,120.6467263,31.41526205
9,120.6466993,31.41527611
9,120.6466724,31.41529027
9,120.6466456,31.41530455
10,120.6464112,31.41539148
10,120.6463843,31.41540558
10,120.6463574,31.41541971
10,120.6463304,31.41543379
10,120.6463035,31.41544786
10,120.6462765,31.4154619
10,120.6462496,31.41547596
10,120.6462226,31.41548999
10,120.6461956,31.41550401
10,120.6461686,31.41551805
10,120.6461417,31.41553216
10,120.6461148,31.41554633
10,120.6460879,31.41556038
10,120.646061,31.41557459
10,120.6460341,31.41558876
10,120.6460073,31.41560292
10,120.6459804,31.41561711
10,120.6459535,31.41563133
10,120.6459267,31.41564555
10,120.6458999,31.41565984
10,120.6458731,31.41567415
10,120.6458462,31.41568824
10,120.6458193,31.41570238
10,120.6457922,31.41571625
10,120.6457649,31.41572981
10,120.645738,31.41574387
10,120.6457108,31.4157576
10,120.6456836,31.41577129
10,120.6456558,31.41578552
10,120.645629,31.41579832
10,120.6456025,31.41581326
10,120.6455756,31.41582673
10,120.6455506,31.41584324
10,120.6455238,31.41585794
10,120.6454969,31.41587248
10,120.6454698,31.41588775
10,120.6454432,31.41589908
10,120.6454205,31.41591368
10,120.6453947,31.41592616
10,120.645368,31.41593999
10,120.6453414,31.4159545
10,120.6453143,31.4159683
10,120.6452874,31.41598245
10,120.6452604,31.41599648
10,120.6452335,31.41601056
10,120.6452066,31.41602464
10,120.6451796,31.41603872
10,120.6451527,31.41605287
10,120.6451257,31.41606687
10,120.6450988,31.4160809
10,120.6450719,31.41609504
10,120.645045,31.41610918
10,120.6450181,31.4161234
10,120.6449914,31.41613777
10,120.6449642,31.41615156
10,120.6449382,31.41616692
10,120.6449115,31.41618135
10,120.6448841,31.41619486
10,120.6448569,31.41620852
10,120.6448297,31.41622214
10,120.6448027,31.41623615
11,120.6464072,31.4154287
11,120.6463803,31.41544286
11,120.6463534,31.41545698
11,120.6463265,31.41547112
11,120.6462996,31.41548527
11,120.6462727,31.4154994
11,120.6462458,31.41551354
11,120.6462189,31.41552766
11,120.646192,31.4155418
11,120.6461651,31.41555594
11,120.6461382,31.41557007
11,120.6461113,31.4155842
11,120.6460843,31.4155983
11,120.6460575,31.41561245
11,120.6460305,31.41562649
11,120.6460036,31.41564066
11,120.6459767,31.41565474
11,120.6459497,31.41566883
